"citiStationID","subStationID","subStationName","distance"
364,221,"Crosstown: Classon Av",0.000243680912312527
365,279,"Fulton: Clinton & Washington Avs",0.00556380940960111
366,222,"Crosstown: Clinton-Washington Avs",0.00782974216981813
367,406,"Queens Boulevard: Lexington Av-53rd St",0.00195075770686515
368,71,"8 Avenue: West 4th St",0.00300284133180639
369,71,"8 Avenue: West 4th St",0.000277224624092298
372,221,"Crosstown: Classon Av",0.00693418477827379
373,219,"Crosstown: Bedford-Nostrand Avs",0.00513660083702661
375,29,"6 Avenue: Broadway-Lafayette St",0.00232528343402549
376,202,"Clark: Fulton St",0.00119092301935808
377,165,"Broadway-7th Ave: Canal St",0.00080175864445664
379,157,"Broadway-7th Ave: 34th St",0.00144742175266543
380,168,"Broadway-7th Ave: Christopher St",0.000814770378909202
382,198,"Canarsie: Union Square",0.00168224666636974
383,145,"Broadway-7th Ave: 14th St",0.00349514579246346
385,406,"Queens Boulevard: Lexington Av-53rd St",0.00427458409000536
386,353,"Nassau: Chambers St",0.00209309243800249
387,331,"Lexington: Brooklyn Bridge-City Hall",0.000776014115132284
388,54,"8 Avenue: 23rd St",0.00707547132395092
389,117,"Broadway Jamaica: Marcy Av",0.00939582911509973
390,250,"Eastern Parkway: Hoyt St",0.0019737573466827
391,201,"Clark: Clark St",0.000437353440325694
392,283,"Fulton: Jay St - Borough Hall",0.00364393435396693
393,177,"Canarsie: 1st Av",0.0114777009941847
394,177,"Canarsie: 1st Av",0.00932692076929698
395,282,"Fulton: Hoyt & Schermerhorn",0.00105832212028645
396,276,"Franklin: Franklin Av",0.000367426738563381
397,279,"Fulton: Clinton & Washington Avs",0.00426236496676324
398,28,"6 Avenue: Bergen St",0.0110003106349552
399,222,"Crosstown: Clinton-Washington Avs",0.002989502152694
400,354,"Nassau: Essex St",0.00806213530506739
401,32,"6 Avenue: Delancey St",0.00287366387558308
402,122,"Broadway: 23rd St",0.00122657266597059
403,20,"6 Avenue: 2nd Av",0.00250561041470831
404,180,"Canarsie: 8th Av",0.00367860517305729
405,180,"Canarsie: 8th Av",0.0077154609782184
406,201,"Clark: Clark St",0.00479750970449544
407,68,"8 Avenue: High St",0.00189551900780316
408,33,"6 Avenue: East Broadway",0.0063491834653675
409,219,"Crosstown: Bedford-Nostrand Avs",0.00356579662428658
410,354,"Nassau: Essex St",0.0039754234257785
411,177,"Canarsie: 1st Av",0.0137022025994753
412,35,"6 Avenue: Grand St",0.00315529925426716
414,38,"6 Avenue: York St",0.00448274808680083
415,204,"Clark: Wall St",0.00280079213141704
416,285,"Fulton: Lafayette Av",0.00230775725863452
417,72,"8 Avenue: World Trade Center",0.00061146436985382
418,38,"6 Avenue: York St",0.00682175444687516
419,224,"Crosstown: Fulton St",0.0111241091862624
420,222,"Crosstown: Clinton-Washington Avs",0.00404946361339853
421,224,"Crosstown: Fulton St",0.01015592534592
422,159,"Broadway-7th Ave: 59th St-Columbus Circle",0.00744244158551766
423,57,"8 Avenue: 50th St",0.00497237501222969
426,167,"Broadway-7th Ave: Chambers St",0.00458583867077778
427,174,"Broadway-7th Ave: South Ferry",0.000440251576740991
428,20,"6 Avenue: 2nd Av",0.00335360646830907
430,38,"6 Avenue: York St",0.00224944621298562
431,12,"4 Avenue: DeKalb Av",0.00239477243219
432,177,"Canarsie: 1st Av",0.00560940535045518
433,177,"Canarsie: 1st Av",0.00231037488347141
434,47,"8 Avenue: 14th St",0.00386423051040197
435,19,"6 Avenue: 23rd St",0.00225398849530478
436,276,"Franklin: Franklin Av",0.00310329157859712
437,287,"Fulton: Nostrand Av",0.000724198590752678
438,327,"Lexington: Astor Place",0.00650676869290834
439,20,"6 Avenue: 2nd Av",0.00385708150013642
440,265,"Flushing: Grand Central-42nd St",0.00480702299707758
441,406,"Queens Boulevard: Lexington Av-53rd St",0.00272340339885346
442,156,"Broadway-7th Ave: 28th St",0.000966941169117774
443,117,"Broadway Jamaica: Marcy Av",0.00855216834901285
444,122,"Broadway: 23rd St",0.00135642326306851
445,177,"Canarsie: 1st Av",0.00490451619132415
446,155,"Broadway-7th Ave: 23rd St",0.000944662743798119
447,57,"8 Avenue: 50th St",0.00160060176754229
448,55,"8 Avenue: 34th St",0.00760890112569257
449,57,"8 Avenue: 50th St",0.00367762057648946
450,57,"8 Avenue: 50th St",0.00265383868379132
453,54,"8 Avenue: 23rd St",0.0019581793564285
454,406,"Queens Boulevard: Lexington Av-53rd St",0.00527740375508046
455,265,"Flushing: Grand Central-42nd St",0.00896742936706119
456,392,"Queens Boulevard: 5th Av-53rd St",0.00145887774143461
457,58,"8 Avenue: 59th St",0.0018438960446332
458,54,"8 Avenue: 23rd St",0.0102345762009435
459,47,"8 Avenue: 14th St",0.0102968991112888
460,117,"Broadway Jamaica: Marcy Av",0.00935548427738553
461,178,"Canarsie: 3rd Av",0.00670569099633411
462,54,"8 Avenue: 23rd St",0.00842608067618045
463,47,"8 Avenue: 14th St",0.00328040358198223
464,406,"Queens Boulevard: Lexington Av-53rd St",0.0026741243111772
465,137,"Broadway: Times Square-42nd St",0.000564090855917243
466,19,"6 Avenue: 23rd St",0.00228141598952192
467,10,"4 Avenue: Atlantic Av-Barclays Ctr",0.000682042096933344
468,126,"Broadway: 57th St",0.00149080441911309
469,397,"Queens Boulevard: 7th Av",0.00119869405329354
470,47,"8 Avenue: 14th St",0.00322972579531466
471,117,"Broadway Jamaica: Marcy Av",0.00583864387017741
472,320,"Lexington: 33rd St",0.000551157120106893
473,350,"Nassau: Bowery",0.00302327735400354
474,123,"Broadway: 28th St",0.00240614317824139
475,317,"Lexington: 14th St-Union Square",0.00343822175144481
476,320,"Lexington: 33rd St",0.00383830933272833
477,56,"8 Avenue: 42nd St",0.00111627311557072
478,56,"8 Avenue: 42nd St",0.0112432193925045
479,56,"8 Avenue: 42nd St",0.0045101867124373
480,57,"8 Avenue: 50th St",0.00755308229159368
481,117,"Broadway Jamaica: Marcy Av",0.00765767498105419
482,145,"Broadway-7th Ave: 14th St",0.00179009012590825
483,317,"Lexington: 14th St-Union Square",0.00372537569411691
484,258,"Flushing: 5th Av",0.00292939473170861
485,258,"Flushing: 5th Av",0.00413407794135168
486,123,"Broadway: 28th St",0.000910592025796575
487,177,"Canarsie: 1st Av",0.00885677141606322
488,56,"8 Avenue: 42nd St",0.00575308431358224
489,54,"8 Avenue: 23rd St",0.00790836505122172
490,55,"8 Avenue: 34th St",0.0010220220166417
491,318,"Lexington: 23rd St",0.00127481477461089
492,157,"Broadway-7th Ave: 34th St",0.000284020669575114
493,23,"6 Avenue: 47-50th Sts Rockefeller Center",0.00287010985425695
494,54,"8 Avenue: 23rd St",0.00165302431760495
495,56,"8 Avenue: 42nd St",0.00859679573104444
496,138,"Broadway: Union Square",0.00277713071025687
497,138,"Broadway: Union Square",0.00160534860640382
498,124,"Broadway: 34th St",0.00133434195267057
